"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"7083",405.764003509943,3.19154826815229,0.180511482753845,17.6805830823763,5.91809908615493e-70,1.81614624755922e-65,"TK1"
"5347",215.24355257486,3.83757350374164,0.220817173178202,17.3789630965191,1.19087256549389e-67,1.82727486449382e-63,"PLK1"
"6241",827.623860023548,3.83714983285597,0.22402455675477,17.1282554396764,9.13531894721698e-66,9.34482226173982e-62,"RRM2"
"890",196.960409501496,3.23234768715547,0.19239671598679,16.8004306652375,2.42278488986335e-63,1.72164357169356e-59,"CCNA2"
"9212",115.720828679083,3.22471039551314,0.192041488151891,16.7917382152477,2.80507620518372e-63,1.72164357169356e-59,"AURKB"
"11065",137.868223942161,3.54392795540157,0.212512544131203,16.6763236019309,1.94847291213189e-62,9.96578945458392e-59,"UBE2C"
"22974",223.797661637764,3.16831693499474,0.192427051292263,16.4650287665772,6.5431533573464e-61,2.86851843186066e-57,"TPX2"
"55355",84.8704880678992,3.24439802190013,0.205830872252035,15.7624460626463,5.6406847939824e-56,2.16376668697165e-52,"HJURP"
"991",219.95442094153,3.64800604001731,0.234609500988651,15.5492681440628,1.60934314423238e-54,5.48750249002258e-51,"CDC20"
"28392",1040.36587284489,3.88898953840362,0.252242356800744,15.4176704805993,1.24515399998828e-53,3.82112859516402e-50,"IGHV4-59"
"332",228.993184579962,3.84518323447047,0.2506025922924,15.3437488387349,3.90006361426039e-53,1.08804683813112e-49,"BIRC5"
"51237",1734.95069883023,3.84190854694092,0.251996798509018,15.245862525525,1.75401302512122e-52,4.48559597624333e-49,"MZB1"
"4288",560.284681038766,3.15545203460991,0.209005359604483,15.0974694648081,1.68268207188042e-51,3.97216518629741e-48,"MKI67"
"24137",55.9229177276586,3.53263313949978,0.235962724761954,14.971149121386,1.13345721528517e-50,2.48453821590509e-47,"KIF4A"
"28467",948.892781520291,5.73410586244256,0.386228556921225,14.8464057348615,7.33998896245357e-50,1.5016638751985e-46,"IGHV1-24"
"3429",3842.85782162833,8.76348072823858,0.594919074631079,14.7305425257595,4.10397898692272e-49,7.87143169691777e-46,"IFI27"
"79801",192.732734859621,3.19964541400265,0.218882029256351,14.618127513133,2.15238943116445e-48,3.88544275668086e-45,"SHCBP1"
"51514",138.438558799542,3.14574832192765,0.21547550955547,14.5990991199761,2.84580972934842e-48,4.85178938745802e-45,"DTL"
"81620",96.1761408624103,2.77790248792872,0.1910325991219,14.541510196153,6.61177340761583e-48,1.06790580175218e-44,"CDT1"
"29128",309.401358118765,2.84644667577288,0.1989439423221,14.3077825971919,1.95652755010382e-46,3.00209587287931e-43,"UHRF1"
"3009",65.4186522735109,3.28366571402285,0.230472336576266,14.2475481561157,4.64298194658985e-46,6.78494428461664e-43,"H1-5"
"2305",121.159261477108,2.30164313241018,0.162985199147947,14.1217923126928,2.78808939216043e-45,3.88913123939179e-42,"FOXM1"
"699",224.259811452641,3.14780297283463,0.223689071683321,14.072225116527,5.62706153998035e-45,7.50796802343117e-42,"BUB1"
"107985050",33.5349333542096,2.53503413290537,0.181256940857339,13.9858596361317,1.90165099296832e-44,2.43157773634216e-41,NA
"259266",82.0937002305388,2.92891488360661,0.210846459288238,13.8912215718199,7.16036162565795e-44,8.78948710272765e-41,"ASPM"
"7298",161.713915651715,2.94419562623307,0.212749151143585,13.8388125659125,1.48641735345763e-43,1.75442983626568e-40,"TYMS"
"51203",296.5799922088,2.36309260759428,0.171469918093387,13.7813829613383,3.29891371795017e-43,3.74952089542426e-40,"NUSAP1"
"55388",95.0466247781685,3.52450107391226,0.256202592208242,13.756695603796,4.64266688810143e-43,5.08836290935917e-40,"MCM10"
"51512",62.9568233838208,2.7629265788718,0.200934246123591,13.750401597408,5.0647602233574e-43,5.35956419773766e-40,"GTSE1"
"81567",4168.67995091025,2.65268962168696,0.194070388740045,13.6686984496136,1.56163429652471e-42,1.59744777639168e-39,"TXNDC5"
"11130",286.121588138674,2.35568499791805,0.172760070036219,13.6355871899345,2.46002753921911e-42,2.43526855237278e-39,"ZWINT"
"100526836",4022.50340838294,2.6171912042993,0.192442725793924,13.5998448031853,4.01284049058356e-42,3.84831403046963e-39,"BLOC1S5-TXNDC5"
"28950",841.581632495582,3.18034096084584,0.235405571847427,13.5100496385324,1.3642942998566e-41,1.26871101436362e-38,"IGKJ1"
"9133",141.772764419839,3.46697529706205,0.256674162407653,13.5073014928389,1.41617896049081e-41,1.27822646881006e-38,"CCNB2"
"55872",30.0574849240913,4.06754086593875,0.301350141119052,13.4977234483252,1.61283228030602e-41,1.41413134337231e-38,"PBK"
"3541",211.216410629532,4.81689492223768,0.357667959576016,13.4675046877212,2.42938225063229e-41,2.07091340298344e-38,"IGLC5"
"157313",69.025735350612,3.30819694579047,0.245768029616544,13.4606480385266,2.66568015096794e-41,2.2109295262947e-38,"CDCA2"
"28773",201.919556133107,4.40550795905249,0.329438967627847,13.3727591206794,8.72435631723431e-41,7.04560649113912e-38,"IGLV9-49"
"28391",491.189160815535,3.41858659122513,0.256497180673678,13.3279694624571,1.59171199155752e-40,1.25247327171582e-37,"IGHV4-61"
"9088",142.324725023446,2.67430373920483,0.201214144267633,13.2908337479882,2.61646413284834e-40,2.00735128272124e-37,"PKMYT1"
"51659",110.559783786014,2.81514499540354,0.211864308115378,13.2874905662281,2.73601018865113e-40,2.04787026022746e-37,"GINS2"
"10112",64.6363454189561,3.24287190974423,0.24475185130932,13.2496317898975,4.53422399790397e-40,3.3130063344685e-37,"KIF20A"
